domain,name,min,max,avg,total,count
OpenCVTrace,"double __cdecl cv::contourArea(const class cv::_InputArray &,bool)",100,54600,237.41554054054055,843300,3552
OpenCVTrace,"void __cdecl cv::drawContours(const class cv::_InputOutputArray &,const class cv::_InputArray &,int,const class cv::Scalar_<double> &,int,int,const class cv::_InputArray &,int,class cv::Point_<int>)",700,625500,7920.1769911504425,13424700,1695
OpenCVTrace,"void __cdecl cv::morphologyEx(const class cv::_InputArray &,const class cv::_OutputArray &,int,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",58000,1677400,69739.92248062015,17992900,258
OpenCVTrace,"class cv::MatExpr __cdecl cv::Mat::mul(const class cv::_InputArray &,double) const",100,55800,689.1472868217054,355600,516
OpenCVTrace,"void __cdecl cv::multiply(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &,double,int)",149500,1185800,263633.3333333333,136034800,516
OpenCVTrace,"void __cdecl cv::MatOp_AddEx::multiply(const class cv::MatExpr &,double,class cv::MatExpr &) const",100,9400,272.09302325581393,70200,258
OpenCVTrace,"void __cdecl cv::sqrt(const class cv::_InputArray &,const class cv::_OutputArray &)",84400,902400,93380.23255813954,24092100,258
OpenCVTrace,"void __cdecl cv::max(const class cv::Mat &,const class cv::Mat &,class cv::Mat &)",210200,513300,266286.43410852714,137403800,516
OpenCVTrace,"void __cdecl cv::bitwise_and(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &)",41600,708500,57092.635658914725,14729900,258
OpenCVTrace,"void __cdecl cv::blur(const class cv::_InputArray &,const class cv::_OutputArray &,class cv::Size_<int>,class cv::Point_<int>,int)",1490500,2581200,1624776.7441860465,419192400,258
OpenCVTrace,"void __cdecl cv::inRange(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",169500,512600,278474.28940568474,215539100,774
OpenCVTrace,"void __cdecl cv::Mat::copyTo(const class cv::_OutputArray &,const class cv::_InputArray &) const",149500,445000,208833.59375,106922800,512
OpenCVTrace,"class cv::Mat &__cdecl cv::Mat::setTo(const class cv::_InputArray &,const class cv::_InputArray &)",14700,597300,130582.9457364341,101071200,774
OpenCVTrace,"void __cdecl cv::merge(const class cv::_InputArray &,const class cv::_OutputArray &)",110200,741500,137888.37209302327,35575200,258
OpenCVTrace,"void __cdecl cv::putText(const class cv::_InputOutputArray &,const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,class cv::Point_<int>,int,double,class cv::Scalar_<double>,int,int,bool)",77400,2989700,676929.8449612403,698591600,1032
OpenCVTrace,"void __cdecl cv::dilate(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",167200,1324200,250427.9527559055,63608700,254
OpenCVTrace,"void __cdecl cv::erode(const class cv::_InputArray &,const class cv::_OutputArray &,const class cv::_InputArray &,class cv::Point_<int>,int,int,const class cv::Scalar_<double> &)",154100,390100,251561.02362204724,63896500,254
OpenCVTrace,"void __cdecl cv::absdiff(const class cv::_InputArray &,const class cv::_InputArray &,const class cv::_OutputArray &)",57600,659000,182728.3464566929,46413000,254
OpenCVTrace,"void __cdecl cv::MatOp::add(const class cv::MatExpr &,const class cv::MatExpr &,class cv::MatExpr &) const",100,8300,345.86614173228344,175700,508
OpenCVTrace,"void __cdecl cv::addWeighted(const class cv::_InputArray &,double,const class cv::_InputArray &,double,double,const class cv::_OutputArray &,int)",699200,1477700,846577.1653543307,430061200,508
intel_gpu_plugin,Plugin::get_property,14700,378400,196550.0,393100,2
intel_gpu_plugin,TransformationsPipeline::apply::run_passes,3080300,3080300,3080300.0,3080300,1
intel_gpu_plugin,TransformationsPipeline::apply::activations_scaling,22462000,22462000,22462000.0,22462000,1
intel_gpu_plugin,TransformationsPipeline::apply,418246500,418246500,418246500.0,418246500,1
intel_gpu_plugin,Plugin::transform_model,418900100,418900100,418900100.0,418900100,1
intel_gpu_plugin,Plugin::clone_and_transform_model,439793400,439793400,439793400.0,439793400,1
intel_gpu_plugin,CustomLayer::LoadFromFile,200,123900,62050.0,124100,2
intel_gpu_plugin,ProgramBuilder::CreateSingleLayerPrimitive,100,305500,5758.241758241758,2096000,364
intel_gpu_plugin,Program::init_graph,240500,855300,547900.0,1095800,2
intel_gpu_plugin,pass::select_preferred_formats,6251300,6251300,6251300.0,6251300,1
intel_gpu_plugin,Program::pre_optimize_graph,226100,11701600,5963850.0,11927700,2
intel_gpu_plugin,KernelsCache::BuildAll::GetProgramSource,38900,983500,511200.0,1022400,2
intel_gpu_plugin,KernelsCache::build_batch,608500,3412900,2435366.6666666665,7306100,3
intel_gpu_plugin,KernelsCache::BuildAll,400,4578100,3047933.3333333335,9143800,3
intel_gpu_plugin,pass::CompileGraph,9966700,370025300,189996000.0,379992000,2
intel_gpu_plugin,Program::post_optimize_graph,118300,369880200,184999250.0,369998500,2
intel_gpu_plugin,pass::BasicMemoryDependencies,45600,102300,73950.0,147900,2
intel_gpu_plugin,pass::SkippedBranchMemoryDependencies,41000,267100,154050.0,308100,2
intel_gpu_plugin,pass::OooqMemoryDependencies,74700,355500,215100.0,430200,2
intel_gpu_plugin,pass::build_implementations,189700,5471100,2830400.0,5660800,2
intel_gpu_plugin,set_arguments: constant:sub_block1.conv3.weight,1500,1500,1500.0,1500,1
intel_gpu_plugin,set_arguments: constant:sub_block1.conv2.weight,1000,1000,1000.0,1000,1
intel_gpu_plugin,set_arguments: constant:sub_block1.conv1.weight,1000,1000,1000.0,1000,1
intel_gpu_plugin,set_arguments: constant:final_block3.conv4.weight,1100,1100,1100.0,1100,1
intel_gpu_plugin,set_arguments: constant:final_block3.conv3.weight,1000,1000,1000.0,1000,1
intel_gpu_plugin,set_arguments: constant:final_block3.conv2.weight,2200,2200,2200.0,2200,1
intel_gpu_plugin,set_arguments: constant:final_block3.conv1.weight,2400,2400,2400.0,2400,1
intel_gpu_plugin,set_arguments: constant:final_block2.conv4.weight,1500,1500,1500.0,1500,1
intel_gpu_plugin,set_arguments: constant:final_block2.conv3.weight,1800,1800,1800.0,1800,1
intel_gpu_plugin,set_arguments: constant:final_block2.conv2.weight,1400,1400,1400.0,1400,1
intel_gpu_plugin,set_arguments: constant:final_block2.conv1.weight,1200,1200,1200.0,1200,1
intel_gpu_plugin,set_arguments: constant:final_block1.conv4.weight,1500,1500,1500.0,1500,1
intel_gpu_plugin,set_arguments: constant:final_block1.conv3.weight,900,900,900.0,900,1
intel_gpu_plugin,set_arguments: constant:final_block1.conv2.weight,1100,1100,1100.0,1100,1
intel_gpu_plugin,set_arguments: constant:final_block1.conv1.weight,1400,1400,1400.0,1400,1
intel_gpu_plugin,set_arguments: constant:conv_transpose.weight,1400,1400,1400.0,1400,1
intel_gpu_plugin,set_arguments: constant:conv8.weight,1500,1500,1500.0,1500,1
intel_gpu_plugin,set_arguments: constant:conv7.weight,1400,1400,1400.0,1400,1
intel_gpu_plugin,set_arguments: constant:conv6_1.weight,2500,2500,2500.0,2500,1
intel_gpu_plugin,set_arguments: constant:conv5_3.weight,2000,2000,2000.0,2000,1
intel_gpu_plugin,set_arguments: constant:conv5_1.weight,1800,1800,1800.0,1800,1
intel_gpu_plugin,set_arguments: constant:conv4_3.weight,1200,1200,1200.0,1200,1
intel_gpu_plugin,set_arguments: constant:conv4_1.weight,1300,1300,1300.0,1300,1
intel_gpu_plugin,set_arguments: constant:conv3_3.weight,1300,1300,1300.0,1300,1
intel_gpu_plugin,set_arguments: constant:conv3_2.weight,1000,1000,1000.0,1000,1
intel_gpu_plugin,set_arguments: constant:conv3_1.weight,1000,1000,1000.0,1000,1
intel_gpu_plugin,set_arguments: constant:conv2_1.weight,1300,1300,1300.0,1300,1
intel_gpu_plugin,set_arguments: constant:conv1.weight,1800,1800,1800.0,1800,1
intel_gpu_plugin,set_arguments: constant:block4.sub_block.conv3.weight,1500,1500,1500.0,1500,1
intel_gpu_plugin,set_arguments: constant:block4.sub_block.conv2.weight,1300,1300,1300.0,1300,1
intel_gpu_plugin,set_arguments: constant:block4.sub_block.conv1.weight,1500,1500,1500.0,1500,1
intel_gpu_plugin,set_arguments: constant:block4.conv1.weight,2000,2000,2000.0,2000,1
intel_gpu_plugin,set_arguments: constant:block3.sub_block.conv3.weight,1100,1100,1100.0,1100,1
intel_gpu_plugin,set_arguments: constant:block3.sub_block.conv2.weight,1300,1300,1300.0,1300,1
intel_gpu_plugin,set_arguments: constant:block3.sub_block.conv1.weight,1200,1200,1200.0,1200,1
intel_gpu_plugin,set_arguments: constant:block3.conv1.weight,1300,1300,1300.0,1300,1
intel_gpu_plugin,set_arguments: constant:block2.sub_block.conv3.weight,1600,1600,1600.0,1600,1
intel_gpu_plugin,set_arguments: constant:block2.sub_block.conv2.weight,1900,1900,1900.0,1900,1
intel_gpu_plugin,set_arguments: constant:block2.sub_block.conv1.weight,1200,1200,1200.0,1200,1
intel_gpu_plugin,set_arguments: constant:block2.conv1.weight,2800,2800,2800.0,2800,1
intel_gpu_plugin,set_arguments: constant:block1.sub_block.conv3.weight,1800,1800,1800.0,1800,1
intel_gpu_plugin,set_arguments: constant:block1.sub_block.conv2.weight,1200,1200,1200.0,1200,1
intel_gpu_plugin,set_arguments: constant:block1.sub_block.conv1.weight,1000,1000,1000.0,1000,1
intel_gpu_plugin,set_arguments: constant:block1.conv1.weight,1100,1100,1100.0,1100,1
intel_gpu_plugin,set_arguments: constant:Reshape_873,1200,1200,1200.0,1200,1
intel_gpu_plugin,set_arguments: constant:Reshape_744,1600,1600,1600.0,1600,1
intel_gpu_plugin,set_arguments: constant:Reshape_615,1900,1900,1900.0,1900,1
intel_gpu_plugin,set_arguments: constant:Reshape_486,1400,1400,1400.0,1400,1
intel_gpu_plugin,set_arguments: constant:Reshape_43,12800,12800,12800.0,12800,1
intel_gpu_plugin,set_arguments: constant:Reshape_358,2700,2700,2700.0,2700,1
intel_gpu_plugin,set_arguments: constant:Reshape_264,2700,2700,2700.0,2700,1
intel_gpu_plugin,set_arguments: constant:Reshape_171,1300,1300,1300.0,1300,1
intel_gpu_plugin,set_arguments: constant:Reshape_1363,900,900,900.0,900,1
intel_gpu_plugin,set_arguments: constant:Reshape_1228,1300,1300,1300.0,1300,1
intel_gpu_plugin,set_arguments: constant:Reshape_1093,1700,1700,1700.0,1700,1
intel_gpu_plugin,set_arguments: constant:sub_block1.conv3.weight_weights_reorder_16,41200,96000,68600.0,137200,2
intel_gpu_plugin,set_arguments: constant:sub_block1.conv2.weight_weights_reorder_15,15200,26500,20850.0,41700,2
intel_gpu_plugin,set_arguments: constant:sub_block1.conv1.weight_weights_reorder_14,12100,28400,20250.0,40500,2
intel_gpu_plugin,set_arguments: constant:final_block3.conv4.weight_weights_reorder_52,11700,24000,17850.0,35700,2
intel_gpu_plugin,set_arguments: constant:final_block3.conv3.weight_weights_reorder_51,11500,24900,18200.0,36400,2
intel_gpu_plugin,set_arguments: constant:final_block3.conv2.weight_weights_reorder_50,12900,25500,19200.0,38400,2
intel_gpu_plugin,set_arguments: constant:final_block3.conv1.weight_weights_reorder_49,10900,28500,19700.0,39400,2
intel_gpu_plugin,set_arguments: constant:final_block2.conv4.weight_weights_reorder_47,10800,20300,15550.0,31100,2
intel_gpu_plugin,set_arguments: constant:final_block2.conv3.weight_weights_reorder_46,11200,20600,15900.0,31800,2
intel_gpu_plugin,set_arguments: constant:final_block2.conv2.weight_weights_reorder_45,10600,29100,19850.0,39700,2
intel_gpu_plugin,set_arguments: constant:final_block2.conv1.weight_weights_reorder_44,10900,25300,18100.0,36200,2
intel_gpu_plugin,set_arguments: constant:final_block1.conv4.weight_weights_reorder_42,10600,34400,22500.0,45000,2
intel_gpu_plugin,set_arguments: constant:final_block1.conv3.weight_weights_reorder_41,9800,28100,18950.0,37900,2
intel_gpu_plugin,set_arguments: constant:final_block1.conv2.weight_weights_reorder_40,20500,28500,24500.0,49000,2
intel_gpu_plugin,set_arguments: constant:final_block1.conv1.weight_weights_reorder_39,17100,30700,23900.0,47800,2
intel_gpu_plugin,set_arguments: constant:conv_transpose.weight_reorder_fmt,26000,28500,27250.0,54500,2
intel_gpu_plugin,set_arguments: constant:conv8.weight_weights_reorder_37,28900,31900,30400.0,60800,2
intel_gpu_plugin,set_arguments: constant:conv7.weight_weights_reorder_38,17200,25600,21400.0,42800,2
intel_gpu_plugin,set_arguments: constant:conv6_1.weight_weights_reorder_12,13700,26500,20100.0,40200,2
intel_gpu_plugin,set_arguments: constant:conv5_3.weight_weights_reorder_11,19100,23100,21100.0,42200,2
intel_gpu_plugin,set_arguments: constant:conv5_1.weight_weights_reorder_9,18800,24000,21400.0,42800,2
intel_gpu_plugin,set_arguments: constant:conv4_3.weight_weights_reorder_8,13100,22800,17950.0,35900,2
intel_gpu_plugin,set_arguments: constant:conv4_1.weight_weights_reorder_6,15600,27400,21500.0,43000,2
intel_gpu_plugin,set_arguments: constant:conv3_3.weight_weights_reorder_5,22300,27700,25000.0,50000,2
intel_gpu_plugin,set_arguments: constant:conv3_2.weight_weights_reorder_4,15900,29200,22550.0,45100,2
intel_gpu_plugin,set_arguments: constant:conv3_1.weight_weights_reorder_3,13100,29500,21300.0,42600,2
intel_gpu_plugin,set_arguments: constant:conv2_1.weight_weights_reorder_1,17200,28500,22850.0,45700,2
intel_gpu_plugin,set_arguments: constant:conv1.weight_weights_reorder_0,17900,23700,20800.0,41600,2
intel_gpu_plugin,set_arguments: constant:block4.sub_block.conv3.weight_weights_reorder_36,14600,22400,18500.0,37000,2
intel_gpu_plugin,set_arguments: constant:block4.sub_block.conv2.weight_weights_reorder_35,15100,20700,17900.0,35800,2
intel_gpu_plugin,set_arguments: constant:block4.sub_block.conv1.weight_weights_reorder_34,14300,22100,18200.0,36400,2
intel_gpu_plugin,set_arguments: constant:block4.conv1.weight_weights_reorder_32,11100,40000,25550.0,51100,2
intel_gpu_plugin,set_arguments: constant:block3.sub_block.conv3.weight_weights_reorder_31,23100,33300,28200.0,56400,2
intel_gpu_plugin,set_arguments: constant:block3.sub_block.conv2.weight_weights_reorder_30,16900,22700,19800.0,39600,2
intel_gpu_plugin,set_arguments: constant:block3.sub_block.conv1.weight_weights_reorder_29,11700,24600,18150.0,36300,2
intel_gpu_plugin,set_arguments: constant:block3.conv1.weight_weights_reorder_27,12000,21400,16700.0,33400,2
intel_gpu_plugin,set_arguments: constant:block2.sub_block.conv3.weight_weights_reorder_26,13800,21900,17850.0,35700,2
intel_gpu_plugin,set_arguments: constant:block2.sub_block.conv2.weight_weights_reorder_25,12100,28800,20450.0,40900,2
intel_gpu_plugin,set_arguments: constant:block2.sub_block.conv1.weight_weights_reorder_24,12000,27600,19800.0,39600,2
intel_gpu_plugin,set_arguments: constant:block2.conv1.weight_weights_reorder_22,14300,27600,20950.0,41900,2
intel_gpu_plugin,set_arguments: constant:block1.sub_block.conv3.weight_weights_reorder_21,12800,32200,22500.0,45000,2
intel_gpu_plugin,set_arguments: constant:block1.sub_block.conv2.weight_weights_reorder_20,11800,23600,17700.0,35400,2
intel_gpu_plugin,set_arguments: constant:block1.sub_block.conv1.weight_weights_reorder_19,14500,35400,24950.0,49900,2
intel_gpu_plugin,set_arguments: constant:block1.conv1.weight_weights_reorder_17,27700,36700,32200.0,64400,2
intel_gpu_plugin,set_arguments: constant:Reshape_873_weights_reorder_33,15100,30100,22600.0,45200,2
intel_gpu_plugin,set_arguments: constant:Reshape_744_weights_reorder_28,13200,27300,20250.0,40500,2
intel_gpu_plugin,set_arguments: constant:Reshape_615_weights_reorder_23,11300,26100,18700.0,37400,2
intel_gpu_plugin,set_arguments: constant:Reshape_486_weights_reorder_18,10900,29200,20050.0,40100,2
intel_gpu_plugin,set_arguments: constant:Reshape_43_weights_reorder_2,11200,28900,20050.0,40100,2
intel_gpu_plugin,set_arguments: constant:Reshape_358_weights_reorder_13,21800,25600,23700.0,47400,2
intel_gpu_plugin,set_arguments: constant:Reshape_264_weights_reorder_10,10500,31300,20900.0,41800,2
intel_gpu_plugin,set_arguments: constant:Reshape_171_weights_reorder_7,11300,26100,18700.0,37400,2
intel_gpu_plugin,set_arguments: constant:Reshape_1363_weights_reorder_53,11000,20600,15800.0,31600,2
intel_gpu_plugin,set_arguments: constant:Reshape_1228_weights_reorder_48,19600,20600,20100.0,40200,2
intel_gpu_plugin,set_arguments: constant:Reshape_1093_weights_reorder_43,20700,23900,22300.0,44600,2
intel_gpu_plugin,constant:sub_block1.conv3.weight::prepare,17400,17400,17400.0,17400,1
intel_gpu_plugin,constant:sub_block1.conv3.weight::execute,3500,3500,3500.0,3500,1
intel_gpu_plugin,constant:sub_block1.conv2.weight::prepare,10200,10200,10200.0,10200,1
intel_gpu_plugin,constant:sub_block1.conv2.weight::execute,2000,2000,2000.0,2000,1
intel_gpu_plugin,constant:sub_block1.conv1.weight::prepare,8900,8900,8900.0,8900,1
intel_gpu_plugin,constant:sub_block1.conv1.weight::execute,2000,2000,2000.0,2000,1
intel_gpu_plugin,constant:final_block3.conv4.weight::prepare,8800,8800,8800.0,8800,1
intel_gpu_plugin,constant:final_block3.conv4.weight::execute,2700,2700,2700.0,2700,1
intel_gpu_plugin,constant:final_block3.conv3.weight::prepare,10000,10000,10000.0,10000,1
intel_gpu_plugin,constant:final_block3.conv3.weight::execute,2300,2300,2300.0,2300,1
intel_gpu_plugin,constant:final_block3.conv2.weight::prepare,8300,8300,8300.0,8300,1
intel_gpu_plugin,constant:final_block3.conv2.weight::execute,2500,2500,2500.0,2500,1
intel_gpu_plugin,constant:final_block3.conv1.weight::prepare,7300,7300,7300.0,7300,1
intel_gpu_plugin,constant:final_block3.conv1.weight::execute,2100,2100,2100.0,2100,1
intel_gpu_plugin,constant:final_block2.conv4.weight::prepare,7800,7800,7800.0,7800,1
intel_gpu_plugin,constant:final_block2.conv4.weight::execute,2200,2200,2200.0,2200,1
intel_gpu_plugin,constant:final_block2.conv3.weight::prepare,7500,7500,7500.0,7500,1
intel_gpu_plugin,constant:final_block2.conv3.weight::execute,2000,2000,2000.0,2000,1
intel_gpu_plugin,constant:final_block2.conv2.weight::prepare,11600,11600,11600.0,11600,1
intel_gpu_plugin,constant:final_block2.conv2.weight::execute,3400,3400,3400.0,3400,1
intel_gpu_plugin,constant:final_block2.conv1.weight::prepare,11800,11800,11800.0,11800,1
intel_gpu_plugin,constant:final_block2.conv1.weight::execute,3100,3100,3100.0,3100,1
intel_gpu_plugin,constant:final_block1.conv4.weight::prepare,10700,10700,10700.0,10700,1
intel_gpu_plugin,constant:final_block1.conv4.weight::execute,2600,2600,2600.0,2600,1
intel_gpu_plugin,constant:final_block1.conv3.weight::prepare,11100,11100,11100.0,11100,1
intel_gpu_plugin,constant:final_block1.conv3.weight::execute,2700,2700,2700.0,2700,1
intel_gpu_plugin,constant:final_block1.conv2.weight::prepare,10100,10100,10100.0,10100,1
intel_gpu_plugin,constant:final_block1.conv2.weight::execute,2900,2900,2900.0,2900,1
intel_gpu_plugin,constant:final_block1.conv1.weight::prepare,11500,11500,11500.0,11500,1
intel_gpu_plugin,constant:final_block1.conv1.weight::execute,3700,3700,3700.0,3700,1
intel_gpu_plugin,constant:conv_transpose.weight::prepare,14100,14100,14100.0,14100,1
intel_gpu_plugin,constant:conv_transpose.weight::execute,3300,3300,3300.0,3300,1
intel_gpu_plugin,constant:conv8.weight::prepare,11300,11300,11300.0,11300,1
intel_gpu_plugin,constant:conv8.weight::execute,3100,3100,3100.0,3100,1
intel_gpu_plugin,constant:conv7.weight::prepare,10000,10000,10000.0,10000,1
intel_gpu_plugin,constant:conv7.weight::execute,3100,3100,3100.0,3100,1
intel_gpu_plugin,constant:conv6_1.weight::prepare,9000,9000,9000.0,9000,1
intel_gpu_plugin,constant:conv6_1.weight::execute,2200,2200,2200.0,2200,1
intel_gpu_plugin,constant:conv5_3.weight::prepare,13100,13100,13100.0,13100,1
intel_gpu_plugin,constant:conv5_3.weight::execute,2100,2100,2100.0,2100,1
intel_gpu_plugin,constant:conv5_1.weight::prepare,11700,11700,11700.0,11700,1
intel_gpu_plugin,constant:conv5_1.weight::execute,4800,4800,4800.0,4800,1
intel_gpu_plugin,constant:conv4_3.weight::prepare,12900,12900,12900.0,12900,1
intel_gpu_plugin,constant:conv4_3.weight::execute,2400,2400,2400.0,2400,1
intel_gpu_plugin,constant:conv4_1.weight::prepare,10600,10600,10600.0,10600,1
intel_gpu_plugin,constant:conv4_1.weight::execute,2300,2300,2300.0,2300,1
intel_gpu_plugin,constant:conv3_3.weight::prepare,8600,8600,8600.0,8600,1
intel_gpu_plugin,constant:conv3_3.weight::execute,2400,2400,2400.0,2400,1
intel_gpu_plugin,constant:conv3_2.weight::prepare,8300,8300,8300.0,8300,1
intel_gpu_plugin,constant:conv3_2.weight::execute,3000,3000,3000.0,3000,1
intel_gpu_plugin,constant:conv3_1.weight::prepare,8900,8900,8900.0,8900,1
intel_gpu_plugin,constant:conv3_1.weight::execute,3300,3300,3300.0,3300,1
intel_gpu_plugin,constant:conv2_1.weight::prepare,9200,9200,9200.0,9200,1
intel_gpu_plugin,constant:conv2_1.weight::execute,2400,2400,2400.0,2400,1
intel_gpu_plugin,constant:conv1.weight::prepare,7300,7300,7300.0,7300,1
intel_gpu_plugin,constant:conv1.weight::execute,2200,2200,2200.0,2200,1
intel_gpu_plugin,constant:block4.sub_block.conv3.weight::prepare,9500,9500,9500.0,9500,1
intel_gpu_plugin,constant:block4.sub_block.conv3.weight::execute,2800,2800,2800.0,2800,1
intel_gpu_plugin,constant:block4.sub_block.conv2.weight::prepare,9000,9000,9000.0,9000,1
intel_gpu_plugin,constant:block4.sub_block.conv2.weight::execute,2600,2600,2600.0,2600,1
intel_gpu_plugin,constant:block4.sub_block.conv1.weight::prepare,8300,8300,8300.0,8300,1
intel_gpu_plugin,constant:block4.sub_block.conv1.weight::execute,2600,2600,2600.0,2600,1
intel_gpu_plugin,constant:block4.conv1.weight::prepare,8300,8300,8300.0,8300,1
intel_gpu_plugin,constant:block4.conv1.weight::execute,2500,2500,2500.0,2500,1
intel_gpu_plugin,constant:block3.sub_block.conv3.weight::prepare,12500,12500,12500.0,12500,1
intel_gpu_plugin,constant:block3.sub_block.conv3.weight::execute,3400,3400,3400.0,3400,1
intel_gpu_plugin,constant:block3.sub_block.conv2.weight::prepare,8900,8900,8900.0,8900,1
intel_gpu_plugin,constant:block3.sub_block.conv2.weight::execute,2500,2500,2500.0,2500,1
intel_gpu_plugin,constant:block3.sub_block.conv1.weight::prepare,6700,6700,6700.0,6700,1
intel_gpu_plugin,constant:block3.sub_block.conv1.weight::execute,2300,2300,2300.0,2300,1
intel_gpu_plugin,constant:block3.conv1.weight::prepare,9700,9700,9700.0,9700,1
intel_gpu_plugin,constant:block3.conv1.weight::execute,2900,2900,2900.0,2900,1
intel_gpu_plugin,constant:block2.sub_block.conv3.weight::prepare,13300,13300,13300.0,13300,1
intel_gpu_plugin,constant:block2.sub_block.conv3.weight::execute,3900,3900,3900.0,3900,1
intel_gpu_plugin,constant:block2.sub_block.conv2.weight::prepare,10700,10700,10700.0,10700,1
intel_gpu_plugin,constant:block2.sub_block.conv2.weight::execute,2300,2300,2300.0,2300,1
intel_gpu_plugin,constant:block2.sub_block.conv1.weight::prepare,9700,9700,9700.0,9700,1
intel_gpu_plugin,constant:block2.sub_block.conv1.weight::execute,2900,2900,2900.0,2900,1
intel_gpu_plugin,constant:block2.conv1.weight::prepare,11600,11600,11600.0,11600,1
intel_gpu_plugin,constant:block2.conv1.weight::execute,4200,4200,4200.0,4200,1
intel_gpu_plugin,constant:block1.sub_block.conv3.weight::prepare,10800,10800,10800.0,10800,1
intel_gpu_plugin,constant:block1.sub_block.conv3.weight::execute,2600,2600,2600.0,2600,1
intel_gpu_plugin,constant:block1.sub_block.conv2.weight::prepare,9400,9400,9400.0,9400,1
intel_gpu_plugin,constant:block1.sub_block.conv2.weight::execute,2300,2300,2300.0,2300,1
intel_gpu_plugin,constant:block1.sub_block.conv1.weight::prepare,9700,9700,9700.0,9700,1
intel_gpu_plugin,constant:block1.sub_block.conv1.weight::execute,5400,5400,5400.0,5400,1
intel_gpu_plugin,constant:block1.conv1.weight::prepare,12200,12200,12200.0,12200,1
intel_gpu_plugin,constant:block1.conv1.weight::execute,2700,2700,2700.0,2700,1
intel_gpu_plugin,constant:Reshape_873::prepare,7300,7300,7300.0,7300,1
intel_gpu_plugin,constant:Reshape_873::execute,2100,2100,2100.0,2100,1
intel_gpu_plugin,constant:Reshape_744::prepare,11000,11000,11000.0,11000,1
intel_gpu_plugin,constant:Reshape_744::execute,2900,2900,2900.0,2900,1
intel_gpu_plugin,constant:Reshape_615::prepare,10700,10700,10700.0,10700,1
intel_gpu_plugin,constant:Reshape_615::execute,3100,3100,3100.0,3100,1
intel_gpu_plugin,constant:Reshape_486::prepare,9600,9600,9600.0,9600,1
intel_gpu_plugin,constant:Reshape_486::execute,3100,3100,3100.0,3100,1
intel_gpu_plugin,constant:Reshape_43::prepare,9900,9900,9900.0,9900,1
intel_gpu_plugin,constant:Reshape_43::execute,2700,2700,2700.0,2700,1
